status,scenario_id,model,deployable,n_runs,n_items,brier_score,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_replications,brier_delta_vs_story_points,delta_ci_low,delta_ci_high
developmental_synthetic_not_empirical_validation,recovery_service_high,proposed_model,true,24,288,0.14228758338175418,0.058665716233913034,0.23210366291091697,5000,-0.0049922669561504466,-0.009430928197413167,-0.0008597202832506759
developmental_synthetic_not_empirical_validation,recovery_service_high,oracle,false,24,288,0.1318359375,0.06499565972222222,0.19867621527777776,5000,-0.015443912837904694,-0.03962978762313674,0.007857375982836255
developmental_synthetic_not_empirical_validation,recovery_service_low,story_points,true,24,288,0.15703034076243147,0.06602576346684826,0.25453524500769925,5000,0.0,0.0,0.0
developmental_synthetic_not_empirical_validation,recovery_service_low,hie_compatible,true,24,288,0.15223038962263427,0.06495618869297883,0.24885539779475277,5000,-0.004799951139797196,-0.008933341380972511,-0.0009363470465148798
developmental_synthetic_not_empirical_validation,recovery_service_low,simple_role_load,true,24,288,0.15665023352243626,0.06592147805302666,0.25061930168718194,5000,-0.0003801072399951994,-0.0006854814046873673,-9.443463431542885e-05
developmental_synthetic_not_empirical_validation,recovery_service_low,proposed_model,true,24,288,0.15157890195373658,0.06485992861523464,0.24758919386422093,5000,-0.005451438808694864,-0.010196214618320515,-0.001012777567432153
developmental_synthetic_not_empirical_validation,recovery_service_low,oracle,false,24,288,0.13888888888888887,0.07175925925925924,0.21064814814814814,5000,-0.01814145187354257,-0.046201911674365825,0.008048310607225814
developmental_synthetic_not_empirical_validation,review_capacity_high,story_points,true,24,576,0.3051743861677859,0.2065578783622041,0.3991682451699812,5000,0.0,0.0,0.0
developmental_synthetic_not_empirical_validation,review_capacity_high,hie_compatible,true,24,576,0.28781680854213937,0.19640063804171262,0.37066271305815124,5000,-0.01735757762564651,-0.024223211751382225,-0.010044735050098447
developmental_synthetic_not_empirical_validation,review_capacity_high,simple_role_load,true,24,576,0.32163720663274153,0.21687974110250394,0.4214841659662492,5000,0.01646282046495563,0.010129957811404392,0.022315920796268134
developmental_synthetic_not_empirical_validation,review_capacity_high,proposed_model,true,24,576,0.3108592806375641,0.2084818535968147,0.4069365583219596,5000,0.00568489446977815,0.00353316697832533,0.007836621961230958
developmental_synthetic_not_empirical_validation,review_capacity_high,oracle,false,24,576,0.22448881172839522,0.18844039351851863,0.2577781394675926,5000,-0.08068557443939078,-0.14183567131431976,-0.017562893794302748
developmental_synthetic_not_empirical_validation,review_capacity_low,story_points,true,24,576,0.27743849334746606,0.18344463434527084,0.37297323528412346,5000,0.0,0.0,0.0
developmental_synthetic_not_empirical_validation,review_capacity_low,hie_compatible,true,24,576,0.2621060105888943,0.17211821775253677,0.34923704809711353,5000,-0.01533248275857166,-0.02230780952294058,-0.008357155994202748
developmental_synthetic_not_empirical_validation,review_capacity_low,simple_role_load,true,24,576,0.23866408681597565,0.1634221813120287,0.31269241319889113,5000,-0.03877440653149049,-0.058748121746106025,-0.018481570098779914
developmental_synthetic_not_empirical_validation,review_capacity_low,proposed_model,true,24,576,0.22034435971411295,0.16146078163857566,0.2782782026593997,5000,-0.05709413363335305,-0.09315414969026152,-0.020442969772232995
developmental_synthetic_not_empirical_validation,review_capacity_low,oracle,false,24,576,0.2135296103395062,0.1724175347222222,0.2533154899691358,5000,-0.0639088830079599,-0.11745376438669831,-0.010364001629221471
