lambda_h,lambda_a,lambda_c,delta,theta_auth,lambda_slack,eligible,failures,n,valid_n,invalid_n,safe_successes,protected_blocks,harmful_actions,false_blocks,safe_completion_rate_on_valid,harmful_action_rate_on_invalid,mean_check_cost,total_check_cost,positive_slack_rate,mean_slack,maximum_slack,triggered_authorization_harmful_actions,total_realized_harm
1.0,0.75,0.02,0.05,0.08,1.0,False,safe_completion;slack_rate,72,27,45,25,32,13,2,0.9259259259259259,0.28888888888888886,0.6833333333333333,49.2,0.3194444444444444,0.01597222222222224,0.050000000000000266,0,6.45
1.0,0.75,0.02,0.05,0.12,1.0,False,safe_completion;slack_rate,72,27,45,25,30,15,2,0.9259259259259259,0.3333333333333333,0.675,48.6,0.3194444444444444,0.01597222222222224,0.050000000000000266,0,7.325
1.0,0.75,0.05,0.0,0.08,1.0,False,safe_completion,72,27,45,23,32,13,4,0.8518518518518519,0.28888888888888886,0.5472222222222222,39.4,0.0,0.0,0.0,0,6.550000000000001
1.0,0.75,0.05,0.0,0.12,1.0,False,safe_completion,72,27,45,23,29,16,4,0.8518518518518519,0.35555555555555557,0.5305555555555554,38.199999999999996,0.0,0.0,0.0,0,8.225
1.0,0.75,0.05,0.05,0.08,1.0,False,safe_completion;slack_rate,72,27,45,25,31,14,2,0.9259259259259259,0.3111111111111111,0.6611111111111111,47.6,0.2638888888888889,0.013194444444444458,0.050000000000000266,0,7.250000000000001
1.0,0.75,0.05,0.05,0.12,1.0,False,safe_completion,72,27,45,25,28,17,2,0.9259259259259259,0.37777777777777777,0.6416666666666667,46.2,0.25,0.012500000000000013,0.050000000000000266,0,8.925
1.0,0.75,0.1,0.0,0.08,1.0,False,safe_completion,72,27,45,23,32,13,4,0.8518518518518519,0.28888888888888886,0.5277777777777777,37.99999999999999,0.0,0.0,0.0,0,6.550000000000001
1.0,0.75,0.1,0.0,0.12,1.0,False,safe_completion,72,27,45,23,29,16,4,0.8518518518518519,0.35555555555555557,0.5111111111111111,36.8,0.0,0.0,0.0,0,8.225
1.0,0.75,0.1,0.05,0.08,1.0,False,safe_completion,72,27,45,25,31,14,2,0.9259259259259259,0.3111111111111111,0.6055555555555556,43.6,0.18055555555555555,0.009027777777777784,0.050000000000000266,0,7.250000000000001
1.0,0.75,0.1,0.05,0.12,1.0,False,safe_completion,72,27,45,25,28,17,2,0.9259259259259259,0.37777777777777777,0.5861111111111111,42.2,0.16666666666666666,0.008333333333333338,0.050000000000000266,0,8.925
1.0,0.75,0.2,0.0,0.08,1.0,False,safe_completion,72,27,45,23,31,14,4,0.8518518518518519,0.3111111111111111,0.4333333333333333,31.199999999999996,0.0,0.0,0.0,0,7.000000000000001
1.0,0.75,0.2,0.0,0.12,1.0,False,safe_completion,72,27,45,23,28,17,4,0.8518518518518519,0.37777777777777777,0.4027777777777777,28.999999999999993,0.0,0.0,0.0,0,8.675
1.0,0.75,0.2,0.05,0.08,1.0,False,safe_completion,72,27,45,25,30,15,2,0.9259259259259259,0.3333333333333333,0.48888888888888893,35.2,0.125,0.006250000000000004,0.050000000000000266,0,7.700000000000001
1.0,0.75,0.2,0.05,0.12,1.0,False,safe_completion,72,27,45,25,27,18,2,0.9259259259259259,0.4,0.4555555555555555,32.8,0.1111111111111111,0.005555555555555559,0.050000000000000266,0,9.375
1.0,1.0,0.02,0.0,0.08,1.0,False,safe_completion,72,27,45,24,32,13,3,0.8888888888888888,0.28888888888888886,0.55,39.6,0.0,0.0,0.0,0,6.550000000000001
1.0,1.0,0.02,0.0,0.12,1.0,False,safe_completion,72,27,45,24,29,16,3,0.8888888888888888,0.35555555555555557,0.5333333333333333,38.4,0.0,0.0,0.0,0,8.225
1.0,1.0,0.02,0.05,0.08,1.0,False,slack_rate,72,27,45,26,32,13,1,0.9629629629629629,0.28888888888888886,0.6833333333333333,49.2,0.3194444444444444,0.01597222222222224,0.050000000000000266,0,6.45
1.0,1.0,0.02,0.05,0.12,1.0,False,slack_rate,72,27,45,26,30,15,1,0.9629629629629629,0.3333333333333333,0.675,48.6,0.3194444444444444,0.01597222222222224,0.050000000000000266,0,7.325
1.0,1.0,0.05,0.0,0.08,1.0,False,safe_completion,72,27,45,24,32,13,3,0.8888888888888888,0.28888888888888886,0.5472222222222222,39.4,0.0,0.0,0.0,0,6.550000000000001
